region_id,Persons_Total_Has_need_for_assistance,Persons_Total_Does_not_have_need_for_assistance,Persons_Total_Need_for_assistance_not_stated,Persons_Total_Total
2133107,15,289,19,323
2133108,13,394,24,431
2133109,18,377,28,423
2133110,18,320,20,358
2133111,28,434,24,486
2133112,68,168,12,248
2133113,15,265,15,295
2133114,10,270,9,289
2133115,6,275,21,302
2133116,27,250,0,277
2133117,25,640,41,706
2133118,21,234,16,271
2133119,27,261,15,303
2133120,16,251,18,285
2133121,24,400,37,461
2133122,21,343,45,409
2133123,9,301,22,332
2133201,41,420,18,479
2133202,61,223,14,298
2133203,11,369,12,392
2133204,11,275,11,297
2133205,12,246,18,276
2133206,6,280,28,314
2133207,13,302,16,331
2133208,70,312,25,407
2133209,21,279,23,323
2133210,0,9,0,9
2133211,19,477,18,514
2133212,22,357,20,399
2133213,24,412,24,460
2133214,21,335,21,377
2133215,0,0,0,0
2133216,36,377,18,431
2133217,26,519,15,560
2133218,23,178,0,201
2133219,18,346,16,380
2133220,21,353,10,384
2133221,13,345,12,370
2133222,19,303,14,336
2133223,27,321,31,379
2133224,12,255,19,286
2133225,13,397,24,434
2133226,12,297,18,327
2133227,31,427,15,473
2133228,30,274,16,320
2133229,14,260,10,284
2133230,20,268,15,303
2133231,13,319,32,364
2133232,42,557,26,625
2133233,16,234,19,269
2133234,0,0,0,0
2133235,27,416,23,466
2133236,15,183,3,201
2133237,24,374,20,418
2133238,9,215,17,241
2133239,18,265,18,301
2133240,7,249,7,263
2133301,38,498,57,593
2133302,20,340,18,378
2133303,19,300,73,392
2133304,33,346,7,386
2133305,36,386,43,465
2133306,14,281,18,313
2133307,15,384,27,426
2133308,20,188,49,257
2133309,28,310,18,356
2133310,23,247,7,277
2133311,31,388,26,445
2133312,26,322,24,372
2133313,29,396,54,479
2133314,45,488,22,555
2133315,39,520,39,598
2133316,8,261,16,285
2133317,14,258,31,303
2133318,34,456,50,540
2133319,34,516,56,606
2133320,24,352,56,432
2133321,28,401,46,475
2133322,14,251,0,265
2133323,33,295,10,338
2133324,24,361,53,438
2133325,18,339,18,375
2133326,25,336,17,378
2133327,20,276,10,306
2133328,19,316,23,358
2133329,27,277,29,333
2133330,27,369,28,424
2133331,30,311,33,374
2133332,28,331,30,389
2133333,43,553,27,623
2133401,25,409,21,455
2133402,16,329,18,363
2133403,20,260,24,304
2133404,27,340,40,407
2133405,25,321,72,418
2133406,33,285,50,368
2133407,31,456,48,535
2133408,16,291,21,328
2133409,34,326,39,399
2133410,49,338,32,419
2133411,34,464,33,531
2133412,34,357,33,424
2133413,21,304,30,355
2133414,36,379,45,460
2133415,50,472,91,613
2133416,28,301,29,358
2133417,59,300,27,386
2133418,32,402,63,497
2133419,27,348,49,424
2133420,57,363,37,457
2133421,24,322,58,404
2133422,27,311,27,365
2133423,45,478,70,593
2133424,23,326,24,373
2133425,38,415,62,515
2133426,50,412,40,502
2133427,35,396,28,459
2133428,41,326,20,387
2133429,41,443,58,542
2133430,47,455,26,528
2133431,10,198,44,252
2133432,33,297,43,373
2133433,22,467,40,529
2133434,18,268,28,314
2133435,30,376,21,427
2133436,30,482,59,571
2133437,27,392,16,435
2133438,30,253,6,289
2133439,15,196,6,217
2133440,29,386,15,430
2133441,35,424,43,502
2133442,28,366,44,438
2133443,42,377,62,481
2133444,18,169,15,202
2133445,16,195,33,244
2133501,26,409,35,470
2133502,46,458,85,589
2133503,43,431,60,534
2133504,20,475,38,533
2133505,18,277,24,319
2133506,43,389,46,478
2133507,21,283,39,343
2133508,29,400,16,445
2133509,33,310,22,365
2133510,35,360,70,465
2133511,29,354,31,414
2133512,35,286,85,406
2133513,20,299,24,343
2133514,37,393,81,511
2133515,35,407,75,517
2133516,31,616,35,682
2133517,28,432,26,486
2133518,40,363,15,418
2133519,19,220,26,265
2133520,47,482,71,600
2133521,35,332,27,394
2133522,25,246,34,305
2133523,27,245,26,298
2133524,28,144,31,203
2133525,12,337,15,364
2133526,24,346,10,380
2133527,28,594,36,658
2133528,16,150,6,172
2133529,21,436,53,510
2133530,38,466,29,533
2133531,24,373,41,438
2133532,22,285,47,354
2133533,33,254,11,298
2133534,29,350,20,399
2133535,106,379,40,525
2133536,59,513,62,634
2133537,41,232,16,289
2133538,8,230,34,272
2133601,60,307,54,421
2133602,0,7,0,7
2133603,25,325,42,392
2133604,16,273,30,319
2133605,24,333,36,393
2133606,24,503,67,594
2133607,30,493,25,548
2133608,26,296,35,357
2133609,22,446,33,501
2133610,27,352,61,440
2133611,32,568,34,634
2133612,43,505,31,579
2133613,24,570,51,645
2133614,30,457,34,521
2133615,15,241,33,289
2133616,24,518,43,585
2133617,28,458,56,542
2133618,109,377,27,513
2133619,33,486,33,552
2133701,25,284,49,358
2133702,35,307,56,398
2133703,20,540,26,586
2133704,24,362,23,409
2133705,76,322,27,425
2133706,28,435,24,487
2133707,23,273,18,314
2133708,29,294,19,342
2133709,30,381,32,443
2133710,32,276,35,343
2133711,35,303,35,373
2133712,37,572,82,691
2133713,30,395,31,456
2133714,0,104,8,112
2133715,13,243,15,271
2133716,25,341,32,398
2133717,19,426,30,475
2133718,114,465,20,599
2133719,30,285,22,337
2133720,28,380,20,428
2133721,17,328,0,345
2133722,24,371,23,418
2133723,12,331,40,383
2133724,49,539,68,656
2133725,0,0,0,0
2133726,38,526,26,590
2133801,27,252,28,307
2133802,51,405,39,495
2133803,33,292,30,355
2133804,34,552,59,645
2133805,6,309,32,347
2133806,14,268,30,312
2133807,23,293,38,354
2133808,43,361,36,440
2133809,31,248,20,299
2133810,26,227,18,271
2133811,38,355,20,413
2133812,33,368,62,463
2133813,30,294,0,324
2133814,38,410,12,460
2133815,21,279,37,337
2133816,32,423,19,474
2133817,37,358,39,434
2133818,22,220,27,269
2133819,23,283,46,352
2133820,106,145,24,275
2133821,32,248,19,299
2133822,24,366,29,419
2133823,36,398,36,470
2133824,15,259,18,292
2133825,38,320,26,384
2133826,49,486,37,572
2133827,28,492,25,545
2133828,22,581,18,621
2133829,0,201,36,237
2133830,30,337,9,376
2133831,17,182,12,211
2133832,0,6,0,6
2133833,0,9,0,9
2133834,27,342,39,408
2133835,10,240,20,270
2133836,19,391,27,437
2133837,26,295,18,339
2133838,12,247,12,271
2133839,20,452,15,487
2133840,15,275,33,323
2133841,40,339,37,416
2133842,28,526,31,585
2133843,9,324,15,348
2133844,27,378,20,425
2133845,29,327,25,381
2133901,12,224,31,267
2133902,21,338,17,376
2133903,18,515,21,554
2133904,25,531,29,585
2133905,13,561,14,588
2133906,13,379,9,401
2133907,17,505,20,542
2133908,9,305,15,329
2133909,18,312,12,342
2133910,11,384,10,405
2133911,8,329,20,357
2133912,7,369,30,406
2133913,18,527,17,562
2133914,58,337,24,419
2133915,4,336,31,371
2133916,27,400,24,451
2133917,17,344,33,394
2133918,9,374,24,407
2133919,120,459,31,610
2133920,12,220,25,257
2133921,10,418,106,534
2133922,15,320,18,353
2133923,28,460,83,571
2133924,16,378,17,411
2133925,18,379,0,397
2133926,9,363,39,411
2133927,6,196,21,223
2134001,8,372,7,387
2134002,18,343,9,370
2134003,20,438,0,458
2134004,20,440,6,466
2134005,11,485,13,509
2134006,21,464,6,491
2134007,15,312,12,339
2134008,14,329,0,343
2134009,20,489,18,527
2134010,0,9,0,9
2134011,9,183,22,214
2134012,12,486,10,508
2134013,3,65,9,77
2134014,0,0,0,0
2134015,12,450,20,482
2134016,20,387,12,419
2134017,11,480,7,498
2134018,12,367,39,418
2134019,12,313,18,343
2134020,10,236,13,259
2134021,10,508,20,538
2134022,16,465,20,501
2134023,17,452,5,474
2134024,12,498,21,531
2134025,3,250,6,259
2134026,13,406,27,446
2134027,5,395,13,413
2134028,17,408,15,440
2134029,30,526,18,574
2134030,15,386,21,422
2134031,7,281,19,307
2134032,10,229,9,248
2134033,21,290,9,320
2134034,23,463,33,519
2134035,6,350,13,369
2134036,9,303,18,330
2134037,3,283,12,298
2134038,15,423,6,444
2134039,0,0,0,0
2134040,0,484,9,493
2134041,15,427,10,452
2134042,18,274,21,313
2134043,11,323,14,348
2134044,9,245,12,266
2134045,44,264,15,323
2134046,8,197,0,205
2134047,7,296,4,307
2134048,17,369,14,400
2134049,15,272,6,293
2134101,33,570,33,636
2134102,21,429,18,468
2134103,34,517,26,577
2134104,15,356,25,396
2134105,18,379,15,412
2134106,13,341,13,367
2134107,17,384,9,410
2134108,24,367,6,397
2134109,0,0,0,0
2134110,39,418,16,473
2134111,7,267,14,288
2134112,21,338,6,365
2134113,21,538,27,586
2134114,12,366,15,393
2134115,18,217,9,244
2134116,18,519,37,574
2134117,40,604,22,666
2134118,24,480,34,538
2134119,29,525,27,581
2134120,22,397,23,442
2134121,27,541,12,580
2134122,28,597,50,675
2134123,0,0,0,0
2134124,13,319,9,341
2134125,31,177,21,229
2134126,30,297,12,339
2134127,9,254,15,278
2134128,24,465,36,525
2134129,0,4,0,4
2134130,0,0,0,0
2134201,15,258,17,290
2134202,18,372,13,403
2134203,23,332,3,358
2134204,29,430,12,471
2134205,33,467,44,544
2134206,16,607,22,645
2134207,15,281,15,311
2134208,0,0,0,0
2134209,0,0,0,0
2134210,9,269,6,284
2134211,11,301,22,334
2134212,40,184,12,236
2134213,14,355,28,397
2134214,21,258,12,291
2134215,37,478,49,564
2134216,9,284,11,304
2134217,17,268,12,297
2134218,14,516,40,570
2134219,13,410,38,461
2134220,17,544,19,580
2134221,19,451,37,507
2134222,10,476,29,515
2134223,12,489,35,536
2134224,15,372,19,406
2134225,21,387,17,425
2134226,40,481,25,546
2134227,24,314,27,365
2134228,14,366,26,406
2134229,25,457,34,516
2134230,16,240,32,288
2134231,22,308,59,389
2134232,18,204,27,249
2134233,12,214,15,241
2134234,16,433,33,482
2134235,89,359,34,482
2134236,18,313,24,355
2134237,18,360,31,409
2134238,15,313,14,342
2134239,12,284,12,308
2134240,18,270,3,291
2134241,22,485,9,516
2134242,22,347,6,375
2134243,18,360,18,396
2134244,26,420,9,455
2134245,22,511,11,544
2134246,4,270,10,284
2134247,87,314,21,422
2134248,15,295,25,335
2134301,15,225,37,277
2134302,22,386,18,426
2134303,0,3,0,3
2134304,29,432,52,513
2134305,31,435,27,493
2134306,34,527,27,588
2134307,40,338,22,400
2134308,6,26,12,44
2134309,0,0,0,0
2134310,37,395,47,479
2134311,16,250,31,297
2134312,52,606,53,711
2134313,25,289,9,323
2134314,23,300,28,351
2134315,46,388,55,489
2134316,21,296,29,346
2134317,35,321,102,458
2134318,44,450,32,526
2134319,27,333,7,367
2134320,31,286,67,384
2134321,24,358,23,405
2134322,24,394,39,457
2134323,24,363,32,419
2134324,54,597,56,707
2134325,37,456,40,533
2134326,40,472,29,541
2134327,72,328,57,457
2134328,33,310,11,354
2134329,18,250,7,275
2134330,61,475,45,581
2134331,159,150,27,336
2134332,25,386,67,478
2134401,13,264,21,298
2134402,46,355,21,422
2134403,22,456,25,503
2134404,8,319,22,349
2134405,26,490,19,535
2134406,15,410,23,448
2134407,24,424,11,459
2134408,18,319,23,360
2134409,15,404,14,433
2134410,19,421,33,473
2134411,27,433,33,493
2134412,24,450,32,506
2134413,0,0,0,0
2134414,0,0,0,0
2134415,22,352,16,390
2134416,27,276,18,321
2134417,13,286,16,315
2134418,12,216,7,235
2134419,12,370,33,415
2134420,9,343,18,370
2134421,11,365,25,401
2134422,12,453,31,496
2134423,12,355,32,399
2134424,0,0,0,0
2134425,22,474,39,535
2134426,15,371,30,416
2134427,6,363,9,378
2134428,19,333,9,361
2134429,18,403,32,453
2134430,19,533,21,573
2134431,16,511,31,558
2134432,14,219,9,242
2134433,3,195,30,228
2134434,11,397,19,427
2134435,0,285,19,304
2134436,3,291,20,314
2134437,15,464,24,503
2134438,58,222,12,292
2134439,15,562,39,616
2134440,10,496,36,542
2134441,13,215,4,232
2134442,25,529,33,587
2134501,24,266,3,293
2134502,13,248,21,282
2134503,18,387,27,432
2134504,9,305,30,344
2134505,7,319,9,335
2134506,12,389,14,415
2134507,15,405,25,445
2134508,6,311,31,348
2134509,6,331,7,344
2134510,4,239,10,253
2134511,20,634,30,684
2134512,6,285,15,306
2134513,8,450,29,487
2134601,24,397,23,444
2134602,21,298,6,325
2134603,23,445,18,486
2134604,30,486,57,573
2134605,22,426,59,507
2134606,24,366,16,406
2134607,25,314,4,343
2134608,13,232,7,252
2134609,27,584,29,640
2134610,15,365,15,395
2134611,10,416,13,439
2134612,14,339,18,371
2134613,16,564,13,593
2134614,19,406,5,430
2134615,33,259,3,295
2134616,9,366,7,382
2134617,22,500,33,555
2134618,16,382,22,420
2134619,19,465,15,499
2134620,6,426,3,435
2134621,9,375,25,409
2134622,17,516,46,579
2134623,13,386,11,410
2134624,21,554,16,591
2134625,15,446,14,475
2134626,81,277,18,376
2134627,14,371,6,391
2134628,7,375,8,390
2134629,0,23,6,29
2134630,29,557,22,608
2134631,3,250,19,272
2134632,18,621,24,663
2134633,3,235,12,250
2134634,0,251,4,255
2134635,3,238,6,247
2134701,11,328,9,348
2134702,28,528,64,620
2134703,15,313,55,383
2134704,12,245,26,283
2134705,8,252,27,287
2134706,13,283,55,351
2134707,30,210,28,268
2134708,27,298,30,355
2134709,27,346,52,425
2134710,25,259,110,394
2134711,49,532,54,635
2134712,23,281,33,337
2134713,18,260,12,290
2134714,22,430,23,475
2134715,26,214,18,258
2134716,87,1162,312,1561
2134717,11,370,6,387
2134718,17,196,33,246
2134719,21,276,16,313
2134720,44,532,37,613
2134721,35,377,21,433
2134722,15,294,16,325
2134723,9,357,40,406
2134724,21,427,28,476
2134725,20,304,24,348
2134726,12,280,12,304
2134727,26,372,27,425
2134728,20,317,31,368
2134729,37,559,43,639
2134730,23,323,22,368
2134731,13,337,42,392
2134732,25,369,32,426
2134733,37,289,29,355
2134734,30,377,47,454
2134735,19,373,109,501
2134736,21,198,61,280
2134737,32,515,60,607
2134801,21,212,126,359
2134802,27,461,51,539
2134803,17,484,65,566
2134804,62,379,94,535
2134805,4,303,79,386
2134806,6,410,101,517
2134807,20,301,39,360
2134808,13,638,130,781
2134809,12,538,81,631
2134810,11,227,17,255
2134811,62,275,105,442
2134812,30,443,83,556
2134813,36,311,51,398
2134814,21,391,83,495
2134815,26,418,43,487
2134816,8,285,21,314
2134817,15,298,43,356
2134818,18,275,48,341
2134819,23,502,52,577
2134820,17,227,33,277
2134821,15,494,24,533
2134822,17,360,43,420
2134823,15,226,25,266
2134824,30,331,40,401
2134825,24,258,15,297
2134826,12,396,43,451
2134827,15,349,98,462
2134828,142,596,64,802
2134829,0,0,0,0
2134830,18,363,31,412
2134901,22,1486,54,1562
2134902,26,341,27,394
2134903,29,366,46,441
2134904,16,380,15,411
2134905,0,211,31,242
2134906,23,476,39,538
2134907,3,358,36,397
2134908,9,287,9,305
2134909,3,319,12,334
2134910,3,339,20,362
2134911,6,226,21,253
2134912,6,289,48,343
2134913,25,491,28,544
2134914,20,308,18,346
2134915,10,579,45,634
2134916,11,344,27,382
2134917,7,305,12,324
2134918,3,546,23,572
2134919,18,391,25,434
2134920,3,321,29,353
2134921,0,285,52,337
2134922,0,254,60,314
2134923,9,326,10,345
2135001,14,352,6,372
2135002,18,362,12,392
2135003,19,442,28,489
2135004,16,316,27,359
2135005,8,412,13,433
2135006,12,400,9,421
2135007,18,385,45,448
2135008,13,400,36,449
2135009,21,422,52,495
2135010,20,384,34,438
2135011,17,351,30,398
2135012,15,409,46,470
2135013,27,410,22,459
2135014,9,488,47,544
2135015,13,271,11,295
2135016,7,410,10,427
2135017,15,355,11,381
2135018,31,636,56,723
2135019,9,340,15,364
2135101,22,287,18,327
2135102,22,397,16,435
2135103,19,349,31,399
2135104,29,364,16,409
2135105,25,417,25,467
2135106,17,344,18,379
2135107,21,413,49,483
2135108,17,316,58,391
2135109,32,360,51,443
2135110,25,472,36,533
2135111,0,4,3,7
2135112,8,283,46,337
2135113,17,478,46,541
2135114,3,6,0,9
2135115,15,335,12,362
2135116,26,341,27,394
2135117,18,298,41,357
2135118,38,458,31,527
2135119,9,369,24,402
2135120,24,336,56,416
2135121,12,325,9,346
2135122,33,415,34,482
2135123,0,19,3,22
2135124,12,293,6,311
2135125,22,395,25,442
2135126,20,360,23,403
2135127,3,252,10,265
2135128,19,327,0,346
2135201,17,435,18,470
2135202,24,416,21,461
2135203,12,425,33,470
2135204,98,262,4,364
2135205,25,363,11,399
2135206,42,551,30,623
2135207,29,565,35,629
2135208,11,491,33,535
2135209,18,409,18,445
2135210,7,406,29,442
2135211,15,341,9,365
2135212,16,517,53,586
2135213,12,372,25,409
2135214,15,290,11,316
2135215,17,353,12,382
2135216,14,510,21,545
2135217,20,394,17,431
2135218,18,482,19,519
2135219,22,490,65,577
2135220,6,220,18,244
2135221,6,397,18,421
2135222,15,450,25,490
2135223,22,393,12,427
2135224,17,555,31,603
2135225,10,295,11,316
2135226,20,504,45,569
2135227,0,0,0,0
2135228,19,387,12,418
2135229,13,417,31,461
2135230,30,485,27,542
2135231,16,276,10,302
2135232,0,0,0,0
2135301,15,244,20,279
2135302,59,403,28,490
2135303,27,617,28,672
2135304,13,339,9,361
2135305,15,251,6,272
2135306,27,307,12,346
2135307,9,526,30,565
2135308,4,242,15,261
2135309,15,362,23,400
2135310,20,351,31,402
2135311,14,343,9,366
2135312,25,416,26,467
2135313,30,301,11,342
2135314,37,413,22,472
2135315,10,268,28,306
2135316,20,691,15,726
2135317,5,373,14,392
2135318,15,311,29,355
2135319,16,390,6,412
2135320,9,402,21,432
2135321,17,675,39,731
2135322,24,348,14,386
2135323,22,315,24,361
2135324,16,411,21,448
2135325,33,319,29,381
2135326,11,505,21,537
2135327,35,677,15,727
2135328,48,342,27,417
2135329,22,714,40,776
2135330,18,483,21,522
2135331,12,313,11,336
2135332,22,287,17,326
2135333,24,339,11,374
2135334,17,287,22,326
2135335,26,405,16,447
2135336,30,290,33,353
2135337,15,396,17,428
2135338,16,402,12,430
2135339,18,502,9,529
2135401,0,0,0,0
2135402,63,2412,155,2630
2135403,11,307,9,327
2135404,9,289,12,310
2135405,22,426,4,452
2135406,10,328,19,357
2135407,16,380,24,420
2135408,151,370,24,545
2135409,18,460,32,510
2135410,16,333,15,364
2135411,9,211,9,229
2135412,12,373,18,403
2135413,13,374,14,401
2135414,10,210,16,236
2135415,15,216,6,237
2135416,9,416,6,431
2135417,3,258,15,276
2135418,6,179,0,185
2135419,9,553,25,587
2135420,36,1458,55,1549
2135421,13,575,24,612
2135422,26,501,10,537
2135423,19,503,14,536
2135424,19,511,11,541
2135425,6,303,12,321
2135426,12,425,24,461
2135427,9,340,9,358
2135428,15,407,39,461
2135429,18,313,7,338
2135430,10,272,4,286
2135431,15,487,22,524
2135432,9,508,27,544
2135433,16,483,22,521
2135434,9,355,19,383
2135435,12,553,20,585
2135436,3,304,15,322
2135437,21,323,12,356
2135438,9,214,0,223
2135439,39,2654,161,2854
2135440,18,927,73,1018
2135441,25,560,15,600
2135442,6,238,6,250
2135443,9,352,3,364
2135444,21,395,18,434
2135445,21,744,54,819
2135446,9,313,14,336
2135447,9,421,12,442
2135448,6,190,12,208
2135449,9,335,30,374
2135501,9,195,12,216
2135502,13,435,6,454
2135503,15,311,24,350
2135504,19,420,3,442
2135505,12,378,18,408
2135506,14,467,15,496
2135507,7,308,12,327
2135508,12,378,6,396
2135509,6,496,22,524
2135510,10,386,10,406
2135511,25,634,49,708
2135512,14,566,50,630
2135513,22,626,26,674
2135514,6,327,19,352
2135515,3,310,16,329
2135516,21,339,16,376
2135517,7,295,21,323
2135518,12,388,7,407
2135519,10,312,6,328
2135520,28,423,25,476
2135521,20,594,15,629
2135522,3,390,22,415
2135523,7,352,9,368
2135524,6,278,20,304
2135525,10,374,24,408
2135526,20,453,41,514
2135527,17,385,37,439
2135528,9,357,13,379
2135529,13,364,12,389
2135530,18,437,9,464
2135531,10,281,3,294
2135532,15,176,15,206
2135533,6,186,18,210
2135534,15,299,11,325
2135535,13,279,27,319
2135536,6,562,18,586
2135537,12,402,34,448
2135538,12,235,3,250
2135601,12,241,15,268
2135602,12,366,21,399
2135603,24,170,9,203
2135604,17,692,71,780
2135605,17,408,28,453
2135606,43,1154,122,1319
2135607,33,789,43,865
2135608,28,303,18,349
2135609,39,313,13,365
2135610,29,479,34,542
2135611,20,308,25,353
2135612,55,488,39,582
2135613,33,371,9,413
2135614,37,448,24,509
2135615,35,490,27,552
2135616,21,246,6,273
2135617,24,485,16,525
2135618,10,389,18,417
2135619,15,424,25,464
2135620,32,274,28,334
2135621,50,519,31,600
2135622,56,211,18,285
2135623,44,351,16,411
2135624,35,568,38,641
2135625,61,336,16,413
2135626,8,289,13,310
2135627,27,508,21,556
2135628,22,457,19,498
2135629,47,483,24,554
2135630,21,186,9,216
2135631,15,432,53,500
2135632,27,416,59,502
2135633,32,458,56,546
2135634,18,551,33,602
2135635,21,456,18,495
2135636,19,589,33,641
2135701,30,503,16,549
2135702,4,341,49,394
2135703,16,360,18,394
2135704,24,358,36,418
2135705,30,413,63,506
2135706,33,455,24,512
2135707,44,555,52,651
2135708,36,342,21,399
2135709,30,433,44,507
2135710,39,553,28,620
2135711,36,635,68,739
2135712,109,432,47,588
2135713,33,492,38,563
2135714,57,510,74,641
2135715,30,356,35,421
2135716,33,381,28,442
2135717,18,521,33,572
2135718,32,460,19,511
2135719,15,431,24,470
2135720,85,430,58,573
2135721,59,2354,147,2560
2135722,78,593,31,702
2135723,19,344,20,383
2135724,23,496,19,538
2135725,9,338,17,364
2135726,8,729,35,772
2135801,17,254,15,286
2135802,17,394,43,454
2135803,15,307,24,346
2135804,24,252,19,295
2135805,33,526,14,573
2135806,21,447,6,474
2135807,32,866,145,1043
2135808,25,839,56,920
2135809,34,604,16,654
2135810,23,370,10,403
2135811,35,1040,41,1116
2135812,34,464,49,547
2135813,6,260,12,278
2135814,12,183,7,202
2135815,34,1150,47,1231
2135816,17,335,24,376
2135817,28,524,23,575
2135818,21,352,33,406
2135819,22,277,36,335
2135820,32,726,49,807
2135821,34,336,26,396
2135822,18,489,44,551
2135823,13,207,14,234
2135824,14,290,9,313
2135825,16,281,19,316
2135826,42,598,23,663
2135827,18,177,21,216
2135828,18,144,16,178
2135901,18,226,27,271
2135902,31,302,69,402
2135903,18,305,46,369
2135904,28,391,38,457
2135905,0,0,911,911
2135906,14,220,14,248
2136001,6,377,7,390
2136002,13,355,5,373
2136003,29,494,58,581
2136004,18,437,27,482
2136005,15,344,16,375
2136006,15,483,9,507
2136007,9,350,18,377
2136008,6,296,6,308
2136009,16,425,24,465
2136010,16,614,29,659
2136011,9,265,3,277
2136012,24,392,9,425
2136013,6,337,15,358
2136014,18,742,21,781
2136015,9,315,5,329
2136016,42,599,38,679
2136017,18,596,17,631
2136018,22,1136,70,1228
2136019,6,647,19,672
2136020,10,358,16,384
2136021,15,382,17,414
2136022,9,389,9,407
2136023,13,323,13,349
2136024,66,3313,113,3492
2136025,3,484,8,495
2136101,3,418,10,431
2136102,9,296,21,326
2136103,14,603,26,643
2136104,5,406,18,429
2136105,28,493,46,567
2136106,10,250,21,281
2136107,14,257,46,317
2136108,16,353,16,385
2136109,10,236,29,275
2136110,0,395,34,429
2136111,6,270,22,298
2136112,24,334,15,373
2136113,15,273,7,295
2136114,15,472,3,490
2136115,12,416,9,437
2136116,6,297,19,322
2136117,15,361,25,401
2136118,6,301,35,342
2136119,19,472,37,528
2136120,10,293,13,316
2136121,15,383,9,407
2136122,25,437,31,493
2136123,18,328,0,346
2136124,15,501,15,531
2136125,0,13,3,16
2136126,37,731,14,782
2136127,9,436,3,448
2136128,5,342,12,359
2136129,16,376,27,419
2136130,11,378,24,413
2136131,20,415,13,448
2136132,39,359,12,410
2136133,19,438,11,468
2136134,13,330,6,349
2136135,11,322,37,370
2136136,9,268,52,329
2136137,15,464,18,497
2136138,9,292,15,316
2136139,9,235,18,262
2136140,3,339,18,360
2136141,15,445,7,467
2136142,9,337,22,368
2136143,9,447,18,474
2136144,11,271,8,290
2136145,9,329,10,348
2136146,15,308,33,356
2136147,18,406,26,450
2136148,22,291,6,319
2136201,33,547,82,662
2136202,28,540,40,608
2136203,18,313,9,340
2136204,13,349,15,377
2136205,25,417,16,458
2136206,15,303,16,334
2136207,8,301,15,324
2136208,22,410,18,450
2136209,15,340,15,370
2136210,24,415,5,444
2136211,14,321,28,363
2136212,21,340,28,389
2136213,22,373,42,437
2136214,20,316,44,380
2136215,24,281,20,325
2136216,6,212,9,227
2136217,22,478,13,513
2136218,11,427,22,460
2136219,28,425,26,479
2136220,21,159,15,195
2136221,11,334,23,368
2136222,3,233,27,263
2136223,9,266,8,283
2136224,24,321,0,345
2136225,12,410,19,441
2136226,11,200,6,217
2136227,15,385,15,415
2136228,12,277,20,309
2136229,0,293,15,308
2136230,15,393,32,440
2136231,18,426,41,485
2136232,21,260,13,294
2136233,16,365,11,392
2136234,21,363,6,390
2136235,21,486,34,541
2136236,12,304,9,325
2136237,9,264,9,282
2136238,12,318,4,334
2136239,24,349,12,385
2136240,24,258,46,328
2136241,26,338,38,402
2136242,11,260,49,320
2136243,16,288,37,341
2136244,7,168,4,179
2136245,24,335,27,386
2136246,22,337,33,392
2136247,17,368,27,412
2136248,6,316,15,337
2136249,12,286,18,316
2136250,0,245,6,251
2136301,15,334,12,361
2136302,30,527,35,592
2136303,24,346,29,399
2136304,0,6,0,6
2136305,25,1083,90,1198
2136306,20,364,50,434
2136307,7,55,22,84
2136308,28,372,59,459
2136309,34,393,33,460
2136310,15,328,25,368
2136311,8,264,20,292
2136312,12,254,9,275
2136313,20,370,34,424
2136401,12,227,6,245
2136402,0,0,0,0
2136403,0,0,0,0
2136404,6,335,9,350
2136405,12,399,10,421
2136406,12,448,12,472
2136407,6,432,40,478
2136408,0,0,0,0
2136409,12,733,58,803
2136410,0,6,0,6
2136411,48,3973,245,4266
2136412,3,340,14,357
2136413,15,1052,47,1114
2136414,15,739,21,775
2136415,14,844,48,906
2136416,6,655,46,707
2136417,9,591,18,618
2136418,6,388,12,406
2136419,21,781,20,822
2136420,7,276,9,292
2136421,3,354,15,372
2136422,9,780,21,810
2136423,13,685,26,724
2136424,12,463,15,490
2136425,12,639,34,685
2136426,24,1389,27,1440
2136427,22,902,53,977
2136428,9,779,27,815
2136429,9,463,20,492
2136430,6,327,3,336
2136431,15,907,23,945
2136432,9,329,9,347
2136433,6,380,13,399
2136434,10,638,26,674
2136435,9,303,4,316
2136436,43,1958,77,2078
2136437,27,1854,106,1987
2136438,11,731,38,780
2136439,0,476,18,494
2136440,6,640,27,673
2136441,11,748,38,797
2136442,0,290,9,299
2136443,23,1975,46,2044
2136444,9,371,9,389
2136501,9,663,22,694
2136502,16,813,72,901
2136503,14,719,25,758
2136504,15,498,40,553
2136505,24,1144,105,1273
2136506,18,1211,55,1284
2136507,10,380,39,429
2136508,3,187,4,194
2136509,9,279,10,298
2136510,21,681,38,740
2136511,10,659,31,700
2136512,18,777,62,857
2136513,13,258,14,285
2136514,18,192,12,222
2136515,0,225,15,240
2136516,19,502,27,548
2136517,9,613,48,670
2136518,12,299,3,314
2136519,15,283,12,310
2136520,14,243,12,269
2136521,6,325,3,334
2136522,26,1040,48,1114
2136523,12,569,24,605
2136524,49,1951,240,2240
2136525,0,377,25,402
2136526,0,282,13,295
2136527,12,375,9,396
2136528,26,564,36,626
2136529,6,395,0,401
2136530,18,1240,83,1341
2136531,30,713,37,780
2136532,19,886,87,992
2136533,7,472,12,491
2136534,9,384,12,405
2136601,0,0,788,788
2136602,76,4286,349,4711
2136603,3,123,16,142
2136604,0,5,0,5
2136605,14,476,34,524
2136606,12,455,25,492
2136607,9,551,9,569
2136608,27,1890,110,2027
2136609,18,1045,53,1116
2136610,13,733,37,783
2136701,15,441,13,469
