region_id,Persons_Total_Has_need_for_assistance,Persons_Total_Does_not_have_need_for_assistance,Persons_Total_Need_for_assistance_not_stated,Persons_Total_Total
1101806,24,397,41,462
1101807,26,366,129,521
1101808,33,487,117,637
1101809,75,155,15,245
1101810,27,270,6,303
1101811,20,297,10,327
1101812,27,371,20,418
1101813,9,225,0,234
1101814,13,234,12,259
1101815,9,246,17,272
1101816,17,332,22,371
1101817,24,484,29,537
1101818,33,442,13,488
1101819,28,305,15,348
1101820,23,229,35,287
1101821,19,191,9,219
1101822,95,320,24,439
1101823,36,353,67,456
1101824,0,0,0,0
1101901,45,372,53,470
1101902,76,354,25,455
1101903,28,222,17,267
1101904,24,424,38,486
1101905,39,361,36,436
1101906,15,384,27,426
1101907,18,310,33,361
1101908,21,311,9,341
1101909,23,276,15,314
1101910,4,141,3,148
1101911,15,385,39,439
1101912,15,343,23,381
1101913,20,398,15,433
1101914,38,588,16,642
1101915,6,190,9,205
1101916,16,440,11,467
1101917,23,554,30,607
1101918,9,227,10,246
1101919,3,196,7,206
1101920,5,272,6,283
1101921,3,168,3,174
1101922,22,235,9,266
1102001,12,318,0,330
1102002,14,471,23,508
1102003,26,313,32,371
1102004,19,297,34,350
1102005,15,216,9,240
1102006,28,305,39,372
1102007,13,291,9,313
1102008,9,350,6,365
1102009,0,0,0,0
1102010,0,3,0,3
1102011,12,295,11,318
1102012,0,0,0,0
1102013,9,141,10,160
1102014,15,177,9,201
1102015,18,138,7,163
1102016,21,255,24,300
1102017,7,261,7,275
1102018,27,371,17,415
1102019,15,356,13,384
1102020,26,465,15,506
1102021,0,0,0,0
1102022,14,283,8,305
1102023,6,264,0,270
1102024,18,234,24,276
1102025,19,385,10,414
1102026,15,154,9,178
1102027,12,207,9,228
1102028,15,383,7,405
1102029,17,215,28,260
1102030,35,386,21,442
1102031,0,160,4,164
1102032,12,203,51,266
1102101,18,301,28,347
1102102,12,170,27,209
1102103,8,412,21,441
1102104,54,366,19,439
1102105,18,275,11,304
1102106,39,474,68,581
1102107,15,475,19,509
1102201,3,52,0,55
1102301,21,342,10,373
1102302,10,392,6,408
1102303,12,255,9,276
1102304,3,154,3,160
1102305,45,424,23,492
1102306,73,233,6,312
1102307,18,274,15,307
1102308,49,482,27,558
1102309,13,289,10,312
1102310,0,5,4,9
1102401,5,222,57,284
1102402,21,263,28,312
1102403,17,232,12,261
1102404,18,324,10,352
1102405,12,220,3,235
