Name1,Name2,Latitude,Longitude,State,pop,unk2
'Young','Young',-34.3096,148.29,'New South Wales','',7501,1036073044
'Caloundra','Caloundra',-26.8,153.1333,'Queensland','',38706,1036266942
'Ingham','Ingham',-18.6496,146.1666,'Queensland','',6127,1036238542
'Innisfail','Innisfail',-17.5313,146.0387,'Queensland','',10143,1036930229
'Inverell','Inverell',-29.7668,151.1126,'New South Wales','',8561,1036652902
'Kingston','Kingston',-42.9911,147.3084,'Tasmania','',14371,1036297213
'Kingston South East','Kingston South East',-36.8328,139.8501,'South Australia','',206,1036261175
'Clare','Clare',-33.8329,138.6,'South Australia','',3061,1036842122
'Bowen','Bowen',-20.0013,148.2087,'Queensland','',10983,1036979225
'Melton','Melton',-37.6895,144.57,'Victoria','',32368,1036007778
'Meningie','Meningie',-35.6995,139.3333,'South Australia','',1501,1036445634
'Merimbula','Merimbula',-36.8996,149.9,'New South Wales','',6367,1036933197
'Merredin','Merredin',-31.4828,118.2667,'Western Australia','',2668,1036578320
'Mildura','Mildura',-34.185,142.1514,'Victoria','',47867,1036624348
'Thargomindah','Thargomindah',-28,143.8167,'Queensland','',203,1036793708
'Theodore','Theodore',-24.9495,150.0833,'Queensland','',246,1036423364
'Three Springs','Three Springs',-29.5333,115.75,'Western Australia','',190,1036669084
'Oatlands','Oatlands',-42.2996,147.3666,'Tasmania','',1157,1036926323
'Wagin','Wagin',-33.2996,117.35,'Western Australia','',1598,1036851354
'Armidale','Armidale',-30.5123,151.6675,'New South Wales','',22673,1036975829
'Atherton','Atherton',-17.2703,145.4694,'Queensland','',6959,1036456869
'Ayr','Ayr',-19.5702,147.3995,'Queensland','',9078,1036228772
'Bairnsdale','Bairnsdale',-37.8296,147.61,'Victoria','',11005,1036432237
'Camooweal','Camooweal',-19.9167,138.1167,'Queensland','',187,1036815011
'Canberra','Canberra',-35.283,149.129,'Australian Capital Territory','primary',327700,1036142029
'Longreach','Longreach',-23.4496,144.25,'Queensland','',2894,1036622618
'Brisbane','Brisbane',-27.455,153.0351,'Queensland','admin',1860000,1036192929
'Devonport','Devonport',-41.1927,146.3311,'Tasmania','',19317,1036033175
'Wallaroo','Wallaroo',-33.9329,137.6333,'South Australia','',2779,1036743246
'Wangaratta','Wangaratta',-36.36,146.3,'Victoria','',14022,1036395326
'Cowell','Cowell',-33.6829,136.9166,'South Australia','',537,1036921929
'Cowra','Cowra',-33.8296,148.68,'New South Wales','',6795,1036204877
'Goondiwindi','Goondiwindi',-28.5548,150.3253,'Queensland','',4251,1036452066
'Goulburn','Goulburn',-34.7496,149.7102,'New South Wales','',20940,1036347537
